date,open,high,low,close,volume
2024-01-01,42000,43500,41800,43000,1200
2024-01-02,43000,44200,42500,44000,1500
2024-01-03,44000,44500,42800,43500,1300
2024-01-04,43500,44800,43000,44600,1400
2024-01-05,44600,45200,43900,45000,1600
2024-01-06,45000,46100,44500,46000,1800
2024-01-07,46000,47000,45500,46800,2000
2024-01-08,46800,47200,46000,47000,1700
2024-01-09,47000,48500,46500,48000,2100
2024-01-10,48000,49000,47500,48700,1900
2024-01-11,48700,49200,47800,48500,1800
2024-01-12,48500,49500,47900,49200,1750
2024-01-13,49200,50100,48800,49800,2200
2024-01-14,49800,50500,49200,50000,2000
2024-01-15,50000,51000,49500,50700,2300
